COUNTRY, CODE
ALBANIA ,15105
ANDORRA ,10103
ARMENIA ,16519
AUSTRIA ,10189
AZERBAIJAN ,16527
BANK FOR INTERNATIONAL SETTLEMENTS ,13307
BELARUS ,16209
BELGIUM ,10251
BOSNIA AND HERZEGOVINA ,14109
BULGARIA ,15202
CROATIA ,14214
CYPRUS ,10405
CZECH REPUBLIC ,15288
DENMARK Excluding Faroe Islands and Greenland ,10502
ESTONIA ,15407
EUROPEAN CENTRAL BANK ,13501
FAROE ISLANDS ,10618
FINLAND Including Ahvenanamaa (Aland Islands) ,10707
"FRANCE Including Corsica. Excluding Andorra, French Guiana, Guadeloupe, Martinique, Mayotte, Monaco, Reunion, and St. Pierre and Miquelon",10804
GEORGIA ,16535
GERMANY Comprises the Federal Republic of Germany and the former German Democratic Republic,11002
GIBRALTAR ,11088
"GREECE Including the Aegean Islands (Khios, Kikladhes, Evvoia, Lesvos, ",11207
GREENLAND ,10545
"GUERNSEY Including islands of Alderney, Herm, Sark, and nearby smaller islands ",13006
HOLY SEE (Vatican City) ,13102
HUNGARY ,15504
ICELAND ,11304
IRELAND ,11401
ISLE OF MAN ,13008
ITALY Excluding San Marino and Holy See ,11509
JERSEY ,13007
KAZAKHSTAN ,16543
KOSOVO (Formerly part of Serbia) ,13471
KYRGYZSTAN ,16551
LATVIA ,15601
LIECHTENSTEIN ,11606
LITHUANIA ,15709
LUXEMBOURG ,11703
"MACEDONIA, FORMER YUGOSLAV REPUBLIC OF ",14419
MOLDOVA ,16306
MONACO ,12009
MONTENEGRO (Formerly part of Yugoslavia1) ,13625
NETHERLANDS ,12106
"NORWAY Including Bouvet Island, Jan Mayen, and Svalbard ",12203
POLAND ,15768
PORTUGAL Including Azores and Madeira Islands ,12319
ROMANIA ,15806
RUSSIA ,16101
SAN MARINO ,12408
SERBIA AND MONTENEGRO (Formerly part of Yugoslavia1) ,13218
SLOVAKIA ,15318
SLOVENIA ,14338
"SPAIN Including Canary Islands, Ceuta, Melilla ",12505
SWEDEN ,12602
SWITZERLAND Excluding Liechtenstein ,12688
TAJIKISTAN ,16578
TURKEY Including Aegan Islands of Imbros and Bozcaada (Tenedos) ,12807
TURKMENISTAN ,16616
UKRAINE ,16403
"UNITED KINGDOM: Excluding Guernsey, Jersey, Isle of Man ",13005
England 13153,13153
Northern Ireland 13234,13234
Scotland 13382,13382
Wales 13455,13455
UZBEKISTAN ,16705
CANADA ,29998
ARGENTINA ,30104
BELIZE ,35718
BOLIVIA ,30201
BRAZIL ,30309
CHILE Including Easter Island ,30406
COLOMBIA ,30503
COSTA RICA ,30589
ECUADOR Including the Galapagos Islands ,31003
EL SALVADOR ,31089
FALKLAND ISLANDS (Islas Malvinas) ,36307
FRENCH GUIANA ,36404
GUATEMALA ,31208
"GUYANA, CO-OPERATIVE REPUBLIC OF ",31305
HONDURAS ,31488
MEXICO Including Cozumel and Revillagigedo Islands ,31704
NICARAGUA ,31801
PANAMA Including Canal Zone ,31887
PARAGUAY ,32107
PERU ,32204
SURINAME ,37702
URUGUAY ,32603
VENEZUELA ,32719
ANGUILLA ,30228
ANTIGUA AND BARBUDA ,35203
ARUBA ,35254
"BAHAMAS, THE ",35319
BARBADOS ,30155
BERMUDA ,35602
"BONAIRE, SINT EUSTATIUS AND SABA (part of former Netherlands Antilles) ",36161
CAYMAN ISLANDS ,36137
CUBA ,30708
CURACAO (part of former Netherlands Antilles) ,36188
DOMINICA ,36218
DOMINICAN REPUBLIC ,30805
EASTERN CARIBBEAN CENTRAL BANK ,35416
GRENADA ,36706
GUADELOUPE and smaller French Islands in the West Indies: ,36803
HAITI ,31402
JAMAICA ,31607
MARTINIQUE ,37001
MONTSERRAT ,37109
NETHERLANDS ANTILLES ,37206
Curacao 36188,36188
SAINT BARTHELEMY AND SAINT MARTIN (formerly with Guadeloupe) ,36471
SAINT KITTS AND NEVIS ,37303
SAINT LUCIA ,37508
SAINT VINCENT AND THE GRENADINES ,37605
TRINIDAD AND TOBAGO ,32409
Tobago 32506,32506
Trinidad 32301,32301
TURKS AND CAICOS ISLANDS ,37818
"VIRGIN ISLANDS, BRITISH ",35807
TOTAL CARIBBEAN ,34401
AFGHANISTAN ,40401
BAHRAIN ,40703
BANGLADESH ,40746
BHUTAN ,40819
BRUNEI ,41009
BURMA (sometimes called Myanmar) ,41106
CAMBODIA ,41203
"CHINA, PEOPLE’S REPUBLIC OF (China, Mainland): Excluding Hong Kong, Macau and Taiwan. ",41408
EAST TIMOR (Timor-Leste) ,45004
HONG KONG: Including Kowloon and the New Territories ,42005
INDIA ,42102
Andaman and Nicobar Islands 40606,40606
Goa 41718,41718
Laccadive Islands (Union Territory of Lakshadweep) 43206,43206
INDONESIA ,42218
Timor (Western) 46507,46507
West New Guinea 47007,47007
IRAN ,42307
IRAQ ,42404
ISRAEL ,42501
JAPAN ,42609
JORDAN ,42706
"KOREA, NORTH ",44407
"KOREA, SOUTH ",43001
KUWAIT ,43109
LAOS ,43303
LEBANON ,43419
MACAU ,43508
MALAYSIA Excluding Singapore ,43605
Labuan 45381,45381
Sabah (North Borneo) 45403,45403
Sarawak and former Federation of Malaya 45519,45519
MALDIVES ,43702
MONGOLIA ,43818
NEPAL ,44202
OMAN Including Muscat ,44105
PAKISTAN ,44709
PHILIPPINES ,44806
QATAR ,45101
SAUDI ARABIA ,45608
SINGAPORE ,46019
SRI LANKA ,41319
SYRIA ,46205
TAIWAN ,46302
THAILAND ,46418
UNITED ARAB EMIRATES ,46604
Abu Dhabi 40088,40088
Ajman 40509,40509
Dubai 41505,41505
Fujairah 41602,41602
Ras al Khaimah 45209,45209
Sharjah: Including Kalbah 45705,45705
Umm al Qaiwain 46701,46701
VIETNAM ,46906
WEST BANK AND GAZA ,47201
YEMEN Comprises the former Yemen Arab Republic and the former ,47104
ALGERIA ,50105
ANGOLA ,50202
BANK OF CENTRAL AFRICAN STATES (BEAC - Banque des Etats de l’Afrique Centrale) ,50318
BENIN ,51802
BOTSWANA ,50504
BURKINA FASO ,57118
BURUNDI ,50806
CAMEROON ,51004
"CAPE VERDE, REPUBLIC OF ",51209
CENTRAL AFRICAN REPUBLIC ,51306
CENTRAL BANK OF WEST AFRICAN STATES (BCEAO- Banque Centrale des Etats de l’Afrique de l’Ouest),50644
CHAD ,51403
COMOROS ,51519
CONGO (Brazzaville) ,51608
CONGO (Kinshasa) ,51705
COTE D’IVOIRE (IVORY COAST) ,53007
DJIBOUTI ,52302
EGYPT ,57002
EQUATORIAL GUINEA ,51942
Fernando Po 52205,52205
Rio Muni 54801,54801
ERITREA ,52019
ETHIOPIA ,52108
GABON ,52418
"GAMBIA, THE ",52507
GHANA ,52604
GUINEA ,52701
GUINEA-BISSAU ,54402
KENYA ,53104
LESOTHO ,53155
LIBERIA ,53201
LIBYA ,53309
MADAGASCAR ,53406
MALAWI ,53503
MALI ,53589
MAURITANIA ,53708
MAURITIUS ,53805
MAYOTTE ,54518
MOROCCO Excluding Ceuta and Melilla ,54003
Tangier 56359,56359
Ifni 52809,52809
MOZAMBIQUE ,54089
NAMIBIA ,54127
NIGER ,54208
NIGERIA ,54305
"REUNION Including islands of Bassas de India, Europa Island, Glorioso Island, Juan de Nova Island, and Tromelin Island",54607
RWANDA ,55018
SAINT HELENA ,55107
Ascension Island 50288,50288
"Tristan da Cunha Islands, including Gough Island 56588",56588
SAO TOME AND PRINCIPE ,55204
SENEGAL ,55301
SEYCHELLES ,55409
SIERRA LEONE ,55506
SOMALIA ,55603
SOUTH AFRICA ,55719
SOUTH SUDAN ,53392
SUDAN (Excluding South Sudan) ,56103
ESWATINI [delete SWAZILAND] ,56219
TANZANIA Including Zanzibar ,56405
TOGO ,56502
TUNISIA ,56707
UGANDA ,56804
WESTERN SAHARA ,56006
ZAMBIA ,57207
ZIMBABWE ,54704
"AUSTRALIA Including Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Coral Sea Islands, Heard Island and McDonald Islands, and Norfolk Island",60089
"BRITISH INDIAN OCEAN TERRITORY (Chagos Archipelago, including Diego Garcia) ",60208
COOK ISLANDS ,60402
FIJI ,60607
"FRENCH POLYNESIA Including islands of Austral, Gambier and Marquesas. ",60704
KIRIBATI ,60526
MARSHALL ISLANDS ,61204
"MICRONESIA, FEDERATED STATES OF ",60305
NAURU ,61301
NEW CALEDONIA ,61409
"NEW ZEALAND Excluding Cook Islands, Niue, and Tokelau Islands ",61689
NIUE ,61808
PALAU ,62502
PAPUA NEW GUINEA ,61751
PITCAIRN ISLANDS ,62103
SAINT PIERRE AND MIQUELON ,62219
SAMOA (Formerly Western Samoa) ,62618
SOLOMON ISLANDS ,62308
TOKELAU ISLANDS ,62405
TONGA ,62448
TUVALU ,60518
VANUATU ,61603
WALLIS AND FUTUNA ,60119
